YEAR,MO,DA,HOUR01,HOUR02,HOUR03,HOUR04,HOUR05,HOUR06,HOUR07,HOUR08,HOUR09,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,HOUR24, TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,DayNo,Hrs
1949,10,7,31,40,69,35,40,28,0,0,0,0,4,1,0,1,0,0,0,5,2,5,0,0,0,9,270,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,280,13
1949,10,8,20,0,0,0,0,0,0,2,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,281,5
1949,10,26,3,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,4
1949,10,28,0,2,2,0,0,0,0,26,15,14,2,2,1,4,0,1,0,0,1,4,4,1,0,0,79,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,301,14
1949,10,30,0,0,0,0,9,14,30,13,1,1,7,11,3,1,1,3,2,2,30,5,3,0,0,0,136,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,303,17
1949,10,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1
1949,11,1,1,0,4,30,15,16,13,1,6,12,9,4,3,0,0,0,0,0,0,0,0,0,0,0,114,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,305,12
1949,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,307,2
1949,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,313,2
1949,11,13,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,317,4
1949,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,31,15,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,328,5
